,n4_p3_r0,n4_p3_r1,n4_p3_r2,n4_p5_r0,n4_p5_r1,n4_p5_r2,n4_p7_r0,n4_p7_r1,n4_p7_r2,n6_p3_r0,n6_p3_r1,n6_p3_r2,n6_p5_r0,n6_p5_r1,n6_p5_r2,n6_p7_r0,n6_p7_r1,n6_p7_r2,n8_p3_r0,n8_p3_r1,n8_p3_r2,n8_p5_r0,n8_p5_r1,n8_p5_r2,n8_p7_r0,n8_p7_r1,n8_p7_r2
n4_p3_r0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
n4_p3_r1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p3_r2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p5_r0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p5_r1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p5_r2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p7_r0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p7_r1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n4_p7_r2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p3_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p3_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p3_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p5_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p5_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p5_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p7_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p7_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n6_p7_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p3_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p3_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p3_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p5_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p5_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p5_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p7_r0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p7_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
n8_p7_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
